Gender,Cancer,No,Stage I %,Stage II %,Stage III %,Stage IV %,Stage I,Stage II,Stage III,Stage IV,Stage NA,0-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80+ years
Male,Colon & rectum,6129,20.2,23.3,30.7,25.7,1238.058,1428.057,1881.603,1575.153,,31,92,349,1181,2090,1537,849
Male,Prostate,5368,13.2,26.2,29.5,31.1,708.576,1406.416,1583.56,1669.448,,,,,487,2052,2024,767
Male,Lung,5083,13.6,5.9,17.8,62.7,691.288,299.897,904.774,3187.041,,,32,175,713,1541,1641,976
Male,Liver,2758,35.6,13.7,27.2,23.5,981.848,377.846,750.176,648.13,,,,127,509,931,763,407
Male,Lymphoid neoplasms,2358,,,,,,,,,2358,266,108,213,403,611,511,246
Male,Non-melanoma skin,1975,,,,,,,,,1975,,45,159,288,469,507,499
Male,Stomach,1605,26.1,9.8,22,42,418.905,157.29,353.1,674.1,,,,78,264,438,470,326
Male,Kidney,1494,37.2,10.3,16.7,35.9,555.768,153.882,249.498,536.346,,,41,167,342,480,302,
Male,Myeloid neoplasms,1232,,,,,,,,,1232,65,58,100,222,308,297,182
Male,Pancreas,1119,4.1,11,12.3,72.6,45.879,123.09,137.637,812.394,,,,,,355,343,154
Male,Other,7066,,,,,1126.181883,957.789573,1422.275814,2209.156331,1350.596399,437,444,817,1692,1962,1333,911
Female,Female breast,11232,55.5,19.4,13.8,11.2,6233.76,2179.008,1550.016,1257.984,,82,658,2460,3100,2847,1409,676
Female,Colon & rectum,5109,18.6,24.8,29.3,27.4,950.274,1267.032,1496.937,1399.866,,20,88,318,954,1368,1220,1141
Female,Lung,2862,23.7,4.7,11.3,60.2,678.294,134.514,323.406,1722.924,,,37,163,457,772,754,676
Female,Uterus,2769,65.1,7.2,16.7,11,1802.619,199.368,462.423,304.59,,32,176,496,958,693,303,111
Female,Ovary,1897,44.6,5,29.5,20.9,846.062,94.85,559.615,396.473,,149,145,343,569,421,,
Female,Lymphoid neoplasms,1809,,,,,,,,,1809,188,94,148,307,452,378,242
Female,Non-melanoma skin,1568,,,,,,,,,1568,,,,,302,411,595
Female,Thyroid,1483,73,17.7,2.8,6.5,1082.59,262.491,41.524,96.395,,125,236,348,339,250,,
Female,Stomach,1160,23.7,10.1,14.8,51.5,274.92,117.16,171.68,597.4,,,,,169,263,315,329
Female,Cervix,1088,38.6,35.9,10.3,15.2,419.968,390.592,112.064,165.376,,,142,240,274,,,
Female,Other,7372,,,,,2925.190166,1105.714007,1123.007842,1414.216264,803.8717208,347,366,764,1402,1898,2104,1725
